uid,SampleSource,TypeofIndustry,TypeofBusiness,ConsolidatedBusinessType,VINTAGE_OF_BUSINESSinyears,City,State,Region,a1,a2,a3,a3_os,a4,our cat,a5,a6,a7,a7_os,a8,a9,total,less than 2,02-May,05-Oct,Oct-15,15-20,20-50,50+,b1,b2,b3,b3_1,b4,b4_os,b5,b5_1,b5_2,b6,b6_1,b7,b8,b9,b10,b10_1,b10_2,b11,c1,c2,c2_os,c3,c4,c4a,c4b,c4b_os,gender,f1,f2,household challenges,f3_os,household_activities,f4_os,f4a,f4b,f4c,f4d,f4e,f4f,f4g,f4x,f4z,use of digital payments,g1_os,g1check,g2,g3,g4,g4_os,g5,g5_os,SampleSource,Gender,TypeofIndustry,TypeofBusiness,ConsolidatedBusinessType,VINTAGE_OF_BUSINESSinyears,City,State,Wave,selected_business,,ConsolidatedBusinessType
2060,LEAD_FI_Team,Manufacturing,"Woolen, Silk & Artificial Thread based",Textiles,22,Panipat,Haryana,North India,No,Male,Small manufacturing plant,,Non Essential,Non Essential,Yes,Fully Shut,,,20,5,25,,,,,,Y,,Worse than expected,,,,Enough to survive 3 months or more,,No,,,Yes,,Yes full payment,Do Not Know,No,No,,,No,Somewhat confident,0,,0-3 months,No,,Others,Not required at the moment,Male,Yes,,0,,1 2 6,,1,2,,,,3,,,,3 4,,,> 3 years,Increased,3 4,,1 3 4,,,,,,,,,,,,,
2062,LEAD_FI_Team,Manufacturing,Metal Based,Auto Parts and Metal Works,7,Panipat,Haryana,North India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,10,0,10,,,,Y,,,,Worse than expected,,,,Enough to survive 1 month,,No,,,Yes,200000,Partial payment,No,Only partially,No,,,No,Somewhat confident,0,,4-6 months,No,,Banks/MFI/NBFC not lending,,Male,No,100,1 2 4,,1 2 4 6,,1,3,,2,,4,,,,3 4,,,> 3 years,Remained the same,4,,4,,,,,,,,,,,,,
2064,LEAD_FI_Team,Manufacturing,"Woolen, Silk & Artificial Thread based",Textiles,5,Panipat,Haryana,North India,No,Male,Small manufacturing plant,,Non Essential,Non Essential,Yes,Fully Shut,,,25,0,25,,,,,,Y,,Worse than expected,,,,Don't have any cash reserves,,No,,,Yes,50000,Yes full payment,Do Not Know,No,No,,,No,Somewhat confident,0,,4-6 months,No,,Requirements not fulfilled,,Male,Yes,,2 4,,1 2 6 8,,1,2,,,,4,,,,3 4,,,1-2 years,Remained the same,3 4,,3 4,,,,,,,,,,,,,
2067,LEAD_FI_Team,Manufacturing,Chemical and Chemical Based,Others,2,Panipat,Haryana,North India,Yes,Male,Small manufacturing plant,,Non Essential,Non Essential,No,Fully Shut,,,20,0,20,,,,,,Y,,Worse than expected,,,,Enough to survive 3 months or more,,Yes,No,,Yes,350000,Yes full payment,Do Not Know,No,No,,,No,Not confident,0,,Uncertain,Do not know any,,,,Male,Yes,,4,,1 2 6 8,,1,2,,,,3,,,,3 4,,,1-2 years,Decreased,3,,3 4,,,,,,,,,,,,,
2070,LEAD_FI_Team,Manufacturing,Textile,Textiles,22,Panipat,Haryana,North India,Yes,Male,Small manufacturing plant,,Non Essential,Non Essential,No,Fully Shut,,,4,2,6,,,Y,,,,,Worse than expected,,,,Don't have any cash reserves,,No,,,No,,Yes full payment,Do Not Know,No,No,,,No Loan,Somewhat confident,0,,Uncertain,Do not know any,,,,Male,Yes,,0,,1 2 4 6,,1,3,,4,,2,,,,7,,,,,,,,,,,,,,,,,,,,
2074,LEAD_FI_Team,Manufacturing,Electrical and Electronic Units,Electricals and Electronics,70,Panipat,Haryana,North India,Yes,Male,Small manufacturing plant,,Non Essential,Non Essential,Yes,Fully Shut,,,50,0,50,,,,,,,Y,Worse than expected,,,,Others,Uncertain,No,,,Yes,,Yes full payment,Do Not Know,No,"No, but not able to pay them",,,Yes,Not confident,0,,> 6 months,No,,Did not find beneficial enough,,Male,No,50,0,,1 6 8,,3,,,,,2,,,,4 5,,,> 3 years,Remained the same,5,,1 3 4,,,,,,,,,,,,,
2084,LEAD_FI_Team,Manufacturing,Electrical and Electronic Units,Electricals and Electronics,14,Panipat,Haryana,North India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,4,0,4,,Y,,,,,,Worse than expected,,,,Enough to survive 3 months or more,,No,,,Yes,,Partial payment,Partial payment,No,No,,,Yes,Somewhat confident,0,,4-6 months,No,,Requirements not fulfilled,,Male,Yes,,2,,1 2 6 7 8,,1,2,,,,4,3,,,3 4,,,> 3 years,Increased,5,,3 4,,,,,,,,,,,,,
2087,LEAD_FI_Team,Manufacturing,"Woolen, Silk & Artificial Thread based",Textiles,6,Panipat,Haryana,North India,No,Male,Small manufacturing plant,,Non Essential,Non Essential,Yes,Fully Shut,,,50,0,50,,,,,,,Y,Worse than expected,,,,Enough to survive 2 months,,No,,,Yes,,Yes full payment,Yes full payment,Only partially,No,,,No,Not confident,0,,Uncertain,No,,Did not find beneficial enough,,Male,Yes,,2,,2 6 8,,,1,,,,2,,,,3,,,> 3 years,Increased,3 4,,1 3 4,,,,,,,,,,,,,
2088,LEAD_FI_Team,Manufacturing,Textile,Textiles,5,Panipat,Haryana,North India,Yes,Female,Small manufacturing plant,,Non Essential,Non Essential,Yes,Fully Shut,,,8,0,8,,,Y,,,,,Worse than expected,,,,Enough to survive 1 month,,No,,,Yes,,Partial payment,Do Not Know,No,No,,,No Loan,Somewhat confident,0,,Uncertain,No,,Others,Not required at the moment,Female,No,60,2,,1 2 6 8,,2,1,,,,3,,,,3 4,,,2-3 years,Increased,3,,3 4 5,,,,,,,,,,,,,
2089,LEAD_FI_Team,Manufacturing,"Woolen, Silk & Artificial Thread based",Textiles,12,Panipat,Haryana,North India,No,Male,Home based business,,Non Essential,Non Essential,No,Fully Shut,,,1,0,1,Y,,,,,,,Worse than expected,,,,Don't have any cash reserves,,No,,,Yes,80000,Yes full payment,Do Not Know,No,No,,,No,Somewhat confident,0,,Uncertain,No,,Banks/MFI/NBFC not lending,,Male,Yes,,2,,1 2 6 8,,2,3,,,,1,,,,3 4,,,1-2 years,Increased,5,,1 3 4,,,,,,,,,,,,,
2092,LEAD_FI_Team,Manufacturing,Textile,Textiles,17,Panipat,Haryana,North India,No,Male,Home based business,,Non Essential,Non Essential,No,Fully Shut,,,0,0,0,Y,,,,,,,Worse than expected,,,,Don't have any cash reserves,,No,,,No,,No,No,No,No,,,No Loan,Not confident,0,,Uncertain,Do not know any,,,,Male,Yes,,1 2 3 4,,1 2 4,,1,2,,3,,,,,,7,,,,,,,,,,,,,,,,,,,,
2097,LEAD_FI_Team,Manufacturing,Textile,Textiles,3,Panipat,Haryana,North India,No,Male,Small manufacturing plant,,Non Essential,Non Essential,Yes,Fully Shut,,,15,0,15,,,,,Y,,,Worse than expected,,,,Others,Uncertain,No,,,No,,Yes full payment,Yes full payment,No,"No, but not able to pay them",,,No Loan,Somewhat confident,0,,4-6 months,No,,Others,Not required at the moment,Male,No,50,2,,1 6 8,,1,,,,,2,,,,3 4,,,2-3 years,Increased,3,,1 3 4,,,,,,,,,,,,,
2098,LEAD_FI_Team,Manufacturing,Textile,Textiles,17,Panipat,Haryana,North India,No,Male,Small manufacturing plant,,Non Essential,Non Essential,Yes,Fully Shut,,,25,10,35,,,,,,Y,,Worse than expected,,,,Enough to survive 1 month,,Yes,Yes,1 2,Yes,20000,No,Do Not Know,No,No,,,No,Somewhat confident,0,,> 6 months,No,,Did not find beneficial enough,,Male,Yes,,2 4,,1 2 4 6,,2,1,,3,,4,,,,3 4,,,1-2 years,Increased,5,,1 3 4,,,,,,,,,,,,,
2099,LEAD_FI_Team,Manufacturing,Ready-made garments,Ready-made garments,6,Panipat,Haryana,North India,No,Male,Small manufacturing plant,,Non Essential,Non Essential,Yes,Fully Shut,,,12,0,12,,,,Y,,,,Worse than expected,,,,Don't have any cash reserves,,No,,,Yes,,Yes full payment,Partial payment,No,No,,,No,Not confident,0,,Uncertain,No,,Did not find beneficial enough,,Male,Yes,,2 4,,1 2 6 8,,4,2,,,,1,,,,3,,,> 3 years,Increased,3 4,,1 4,,,,,,,,,,,,,
2101,LEAD_FI_Team,Manufacturing,Textile,Textiles,2,Panipat,Haryana,North India,Yes,Female,Small manufacturing plant,,Non Essential,Non Essential,Yes,Fully Shut,,,15,5,20,,,,,,Y,,Worse than expected,,,,Don't have any cash reserves,,No,,,Yes,250000,Yes full payment,No,Only partially,No,,,No,Fully confident,0,,> 6 months,Do not know any,,,,Female,Yes,,0,,1 2 6 8,,1,2,,,,3,,,,3,,,> 3 years,Increased,3 4,,1 3 4,,,,,,,,,,,,,
2102,LEAD_FI_Team,Manufacturing,Textile,Textiles,3,Panipat,Haryana,North India,No,Male,Small manufacturing plant,,Non Essential,Non Essential,No,Fully Shut,,,40,0,40,,,,,,Y,,Worse than expected,,,,Enough to survive 3 months or more,,No,,,No,,Yes full payment,Yes full payment,No,No,,,No,Somewhat confident,0,,Uncertain,No,,Did not find beneficial enough,,Male,No,50,2,,1 2 4 6 8,,1,2,,3,,4,,,,3,,,> 3 years,Remained the same,3 4,,4,,,,,,,,,,,,,
2105,LEAD_FI_Team,Manufacturing,"Woolen, Silk & Artificial Thread based",Textiles,4,Panipat,Haryana,North India,Yes,Male,Small manufacturing plant,,Non Essential,Non Essential,Yes,Fully Shut,,,4,0,4,,Y,,,,,,Worse than expected,,,,Don't have any cash reserves,,Yes,Yes,1 2,Yes,15000,Yes full payment,Yes full payment,No,No,,,No Loan,Somewhat confident,0,,0-3 months,No,,Others,Not required at the moment,Male,Yes,,1,,1 2 6 7 8,,1,2,,,,3,5,,,7,,,,,,,,,,,,,,,,,,,,
2108,LEAD_FI_Team,Manufacturing,"Woolen, Silk & Artificial Thread based",Textiles,8,Panipat,Haryana,North India,Yes,Male,Small manufacturing plant,,Non Essential,Non Essential,Yes,Fully Shut,,,8,0,8,,,Y,,,,,Worse than expected,,,,Don't have any cash reserves,,Yes,Yes,2 3,No,,No,Yes full payment,Yes,No,,,No,Somewhat confident,0,,4-6 months,No,,Banks/MFI/NBFC not lending,,Male,Yes,,2,,1 2 4 8,,1,2,,3,,,,,,3,,,> 3 years,Increased,3 4,,1 3 4 5,,,,,,,,,,,,,
2366,LEAD_FI_Team,Trading,Consumer Electronics,Electricals and Electronics,,Panipat,Haryana,North India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Partly Operational,2 3,,1,0,1,Y,,,,,,,Worse than expected,25,Decreased,80,Enough to survive 2 months,,No,,,No,,Partial payment,No,Yes,Yes,1,0,No,Somewhat confident,3,,4-6 months,Do not know any,,,,Male,Yes,,2 4,,6 -888,Shop,,,,,,2,,,1,7,,,,,,,,,,,,,,,,,,,,
2382,LEAD_FI_Team,Trading,Handloom,Handicraft,,Panipat,Haryana,North India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,0,0,0,Y,,,,,,,Worse than expected,,,,Enough to survive 1 month,,No,,,Yes,30000,Partial payment,No,Yes,No,,,Yes,Somewhat confident,0,,> 6 months,Do not know any,,,,Male,Yes,,2,,1 2 6,,1,2,,,,3,,,,4,,,3-6 months,Increased,1 2 3 4,,1 3 4,,,,,,,,,,,,,
2386,LEAD_FI_Team,Trading,Wholesale Grain Market,Agro-based Trading,,Panipat,Haryana,North India,No,Male,Fixed Store/ Shop,,Essential,Essential,Yes,Fully Operational,8,,2,0,2,,Y,,,,,,Same as expected,80,Increased,80,Enough to survive 2 months,,No,,,No,,Yes full payment,Partial payment,Yes,No,,,No,Somewhat confident,0,,4-6 months,Do not know any,,,,,Yes,,0,,1 -888,Shop,2,,,,,,,,1,4,,,3-6 months,Increased,1 2,,1 3,,,,,,,,,,,,,
2395,LEAD_FI_Team,Trading,Mobile Phones & Accessories,Mobile Accessories,,Panipat,Haryana,North India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,0,0,0,Y,,,,,,,Same as expected,,,,Enough to survive 2 months,,No,,,Yes,,No,No,Yes,Yes,2,0,No,Fully confident,2,,> 6 months,Do not know any,,,,Male,Yes,,1 2,,1 8,,1,,,,,,,,,4,,,3-6 months,Increased,1 2 3 4,,1,,,,,,,,,,,,,
2401,LEAD_FI_Team,Trading,General/Kirana Store,General/Kirana Store,,Panipat,Haryana,North India,Yes,Male,Fixed Store/ Shop,,Non Essential,Essential,Yes,Fully Shut,,,0,0,0,Y,,,,,,,Worse than expected,,,,Don't have any cash reserves,,Yes,Yes,1 2 4,Yes,,Partial payment,Partial payment,Only partially,No,,,No Loan,Not confident,4,,> 6 months,No,,Did not find beneficial enough,,,Yes,,1 2 4,,1 6 8,,1,,,,,2,,,,4,,,6-12 months,Increased,1 4,,1 2 3 4,,,,,,,,,,,,,
2402,LEAD_FI_Team,Trading,Handloom,Handicraft,,Panipat,Haryana,North India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Partly Operational,1 5,,0,0,0,Y,,,,,,,Worse than expected,60,Decreased,80,Enough to survive 2 months,,No,,,No,,No,No,Yes,No,,,No,Not confident,0,,> 6 months,Yes,Bank,,,Male,No,100,4,,1 2 6,,1,2,,,,3,,,,4,,,1 to 3 months,Increased,1 4,,1 3 4,,,,,,,,,,,,,
2407,LEAD_FI_Team,Trading,Handloom,Handicraft,,Panipat,Haryana,North India,No,Male,Small manufacturing plant,,Non Essential,Non Essential,Yes,Fully Shut,,,13,0,13,,,,Y,,,,Worse than expected,,,,Enough to survive 2 months,,Yes,No,,No,,Refuse To Answer,Refuse To Answer,No customers due to lockdown,No,,,No,Somewhat confident,0,,> 6 months,Do not know any,,,,Male,No,50,1 4,,1 2 6,,1,2,,,,3,,,,4,,,2-3 years,Increased,1 4,,1 3,,,,,,,,,,,,,
2413,LEAD_FI_Team,Trading,Handloom,Handicraft,,Panipat,Haryana,North India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,2,0,2,,Y,,,,,,Same as expected,,,,Enough to survive 1 month,,No,,,No,,Partial payment,Partial payment,Yes,Yes,2,0,No,Fully confident,4 7,,> 6 months,Do not know any,,,,Male,No,50,4,,1 2 6,,1,2,,,,3,,,,7,,,,,,,,,,,,,,,,,,,,
2414,LEAD_FI_Team,Trading,Handloom,Handicraft,,Panipat,Haryana,North India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,0,0,0,Y,,,,,,,Better than expected,,,,Enough to survive 2 months,,No,,,No,,No,No,No,No,,,No,Somewhat confident,2 3,,> 6 months,Yes,Bank,,,Male,Yes,,1 2 4,,1 8,,1,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,
2421,LEAD_FI_Team,Trading,Consumer Electronics,Electricals and Electronics,,Panipat,Haryana,North India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,0,0,0,Y,,,,,,,Worse than expected,,,,Enough to survive 1 month,,No,,,No,,Partial payment,Partial payment,Yes,No,,,No,Not confident,4 5,,> 6 months,No,,Did not find beneficial enough,,Male,No,100,1 4,,1 2 3,,1,2,3,,,,,,,7,,,,,,,,,,,,,,,,,,,,
2426,LEAD_FI_Team,Trading,Mobile Phones & Accessories,Mobile Accessories,,Panipat,Haryana,North India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,0,0,0,Y,,,,,,,Worse than expected,,,,Enough to survive 1 month,,Yes,Yes,4,Yes,,Partial payment,Partial payment,Yes,No,,,No,Fully confident,0,,> 6 months,Yes,Bank,,,Male,No,50,1 2 4,,1 8,,1,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,
2433,LEAD_FI_Team,Trading,Fruit & Vegetable,General/Kirana Store,,Panipat,Haryana,North India,Yes,Male,Fixed Store/ Shop,,Non Essential,Essential,Yes,Fully Shut,,,2,0,2,,Y,,,,,,Worse than expected,,,,Enough to survive 1 month,,Yes,Yes,4,Yes,,Partial payment,Partial payment,"Yes, but with delay",Yes,2,0,No,Somewhat confident,4,,> 6 months,Do not know any,,,,,No,100,1 2 4,,1 7 8,,2,,,,,,1,,,7,,,,,,,,,,,,,,,,,,,,
3001,AYE Finance,Manufacturing,FOOTWEAR-MANF,Footwear Manufacturing,8,New Delhi,Delhi,North India,No,Male,Small manufacturing plant,,Non Essential,Non Essential,Yes,Partly Operational,8,,14,0,14,,,,Y,,,,Better than expected,90,Remained the same,,Enough to survive 1 month,,No,,,Yes,10000,No,No,"Yes, but with delay",No,,,Yes,Somewhat confident,0,,4-6 months,No,,Did not find beneficial enough,,Male,No,70,0,,2 4,,,1,,2,,,,,,-888,0,,3-6 months,Do Not Know,5,,5,,,,,,,,,,,,,
3010,AYE Finance,Manufacturing,Metal Based,Auto Parts and Metal Works,8,New Delhi,Delhi,North India,Yes,Male,Fixed Store/ Shop,,Essential,Non Essential,No,Fully Shut,,,0,0,0,Y,,,,,,,Better than expected,,,,Enough to survive 3 months or more,,Yes,Yes,1,No,,No,No,Yes,No,,,Yes,Not confident,1 2,,> 6 months,Yes,sarkar,,,Male,Yes,,2 3 4,,2 4 8,,,2,,1,,,,,,3,,,Less than a month,Decreased,5,,5,,,,,,,,,,,,,
3013,AYE Finance,Manufacturing,Handicraft,Handicraft,30,New Delhi,Delhi,North India,Yes,Male,Home based business,,Essential,Non Essential,No,Fully Shut,,,0,3,3,,Y,,,,,,Better than expected,,,,Enough to survive 2 months,,Yes,No,,No,,Partial payment,No,Only partially,No,,,Yes,Somewhat confident,1 2 4,,> 6 months,Yes,50000,,,Male,Yes,,2 4,,1 2,,1,2,,,,,,,,7,,,,,,,,,,,,,,,,,,,,
3015,AYE Finance,Manufacturing,Auto Parts,Auto Parts and Metal Works,17,New Delhi,Delhi,North India,Yes,Male,Home based business,,Essential,Non Essential,No,Fully Shut,,,6,0,6,,,Y,,,,,Better than expected,,,,Enough to survive 1 month,,Yes,Yes,4,No,,Partial payment,Partial payment,"Yes, but with delay",No,,,No Loan,Fully confident,2,,0-3 months,Yes,bank,,,Male,Yes,,2 3 4,,1 2,,2,1,,,,,,,,7,,,,,,,,,,,,,,,,,,,,
3017,AYE Finance,Manufacturing,Auto Parts,Auto Parts and Metal Works,14,New Delhi,Delhi,North India,No,Male,Fixed Store/ Shop,,Essential,Non Essential,Yes,Fully Shut,,,2,0,2,,Y,,,,,,Better than expected,,,,Don't have any cash reserves,,Yes,Yes,2,Yes,15000,Partial payment,Yes full payment,Yes,No,,,Yes,Somewhat confident,2,,4-6 months,Yes,15000,,,Male,Yes,,2 4,,1 2,,1,2,,,,,,,,7,,,,,,,,,,,,,,,,,,,,
3018,AYE Finance,Manufacturing,Auto Parts,Auto Parts and Metal Works,20,New Delhi,Delhi,North India,Yes,Male,Home based business,,Essential,Non Essential,Yes,Fully Shut,,,0,2,2,,Y,,,,,,Better than expected,,,,Enough to survive 2 months,,No,,,Yes,15000,Partial payment,Partial payment,Only partially,No,,,No,Somewhat confident,2 7,,4-6 months,No,,Requirements not fulfilled,,Male,Yes,,2 3 4,,1 2 4,,1,3,,2,,,,,,7,,,,,,,,,,,,,,,,,,,,
3022,AYE Finance,Manufacturing,Auto Parts,Auto Parts and Metal Works,18,New Delhi,Delhi,North India,Yes,Male,Small manufacturing plant,,Essential,Non Essential,No,Fully Shut,,,1,0,1,Y,,,,,,,Better than expected,,,,Enough to survive 2 months,,Yes,Yes,3,Yes,5000,Yes full payment,Partial payment,"Yes, but with delay",No,,,Yes,Fully confident,2 4 6,,4-6 months,Yes,1 lakh,,,Male,Yes,,2 3 4,,1 2,,1,2,,,,,,,,7,,,,,,,,,,,,,,,,,,,,
3023,AYE Finance,Manufacturing,Auto Parts,Auto Parts and Metal Works,35,New Delhi,Delhi,North India,Yes,Male,Small manufacturing plant,,Essential,Non Essential,Yes,Fully Shut,,,1,0,1,Y,,,,,,,Better than expected,,,,Enough to survive 1 month,,Yes,Yes,2,Yes,5000,Yes full payment,Partial payment,"Yes, but with delay",No,,,Yes,Somewhat confident,2 4,,4-6 months,Yes,200000,,,Male,Yes,,1 4,,1 2,,1,2,,,,,,,,3,,,6-12 months,Decreased,1 4,,1 4,,,,,,,,,,,,,
